,year,timestep,stand_age,disturb_mort,disturb_bio_remove,lai_scalar,fol_n,npp_decline_scalar,wood_mort_rate,snag_fall_rate,snag_decay_rate,dwd_decay_rate,wood_production,wood_biomass,bark_biomass,standing_necromass,downed_necromass,standing_necromass_N,standing_necromass_CN,downed_necromass_N,downed_necromass_CN,standing_necromass_bark,downed_necromass_bark,standing_necromass_bark_N,standing_necromass_bark_CN,downed_necromass_bark_N,downed_necromass_bark_CN,wood_necromass,wood_necromass_N,bark_necromass,bark_necromass_N,total_necromass,total_necromass_N
57,1976,57,57.0,0.0,0.0,1.0,2.13,0.8649712770925237,0.01837121212121212,0.05529473135106938,0.02130257801899593,0.05022970903522205,411.7263278960413,16007.78251801345,0.0,2778.964415318294,1895.8677557315218,5.416261275003036,46.312638098037155,6.498240844901256,38.28430438355488,0.0,0.0,0.0,2885.283582089552,,,4674.832171049816,11.914502119904292,0.0,,4674.832171049816,
58,1977,58,58.0,0.0,0.0,1.0,2.12,0.8615781509730737,0.018421052631578946,0.05512754665297037,0.02115127175368139,0.05007541478129714,408.38804356123694,16122.088193346031,0.0,2837.605566707717,1955.4782247196868,5.538115353162112,46.950637294810676,6.727237456599244,38.81729606397526,0.0,0.0,0.0,2935.0298507462685,,,4793.083791427403,12.265352809761357,0.0,,4793.083791427403,
59,1978,59,59.0,0.0,0.0,1.0,2.11,0.8582560014004418,0.018470149253731343,0.054965435845557235,0.021003963011889035,0.049925705794948,405.09683266100853,16230.199190866457,0.0,2895.2956855532384,2015.0013906483157,5.658041705173865,47.59335862022985,6.959912572148495,39.32669336838616,0.0,0.0,0.0,2984.776119402985,,,4910.297076201554,12.61795427732236,0.0,,4910.297076201554,
60,1979,60,60.0,0.0,0.0,1.0,2.1,0.8550021778919727,0.018518518518518517,0.054808171400099644,0.020860495436766623,0.04978038067349927,401.8510236092272,16332.27601300259,0.0,2952.0168325687573,2074.3949795483177,5.776341507700675,48.22555075201172,7.210949692195899,39.81679601100617,0.0,0.0,0.0,3034.5223880597014,,,5026.411812117075,12.987291199896575,0.0,,5026.411812117075,
61,1980,61,61.0,0.0,0.0,1.0,2.09,0.8518141710421567,0.018566176470588235,0.05465553919162166,0.02072072072072072,0.04963924963924964,398.64903204772935,16428.475489253975,0.0,3007.75282972522,2133.6182672083805,5.892616364514901,48.862270201265474,7.446832221889189,40.33564115320253,0.0,0.0,0.0,3084.268656716418,,,5141.371096933601,13.33944858640409,0.0,,5141.371096933601,
62,1981,62,62.0,0.0,0.0,1.0,2.08,0.84868960284534,0.018613138686131386,0.05450733752620544,0.020584498094027955,0.049502133712660025,395.48935492592847,16518.95086910368,0.0,3062.489171689798,2192.632054253273,6.006827072049565,49.503464497177525,7.690904906056114,40.832440288574375,0.0,0.0,0.0,3134.0149253731342,,,5255.12122594307,13.69773197810568,0.0,,5255.12122594307,
63,1982,63,63.0,0.0,0.0,1.0,2.07,0.8456262178262367,0.018659420289855073,0.05436337625178826,0.020451693851944792,0.04936886395511921,392.3705650713738,16603.851910699035,0.0,3116.212942192308,2251.3986403199433,6.119323056001894,50.13423662370075,7.921586198540367,41.358259184011324,0.0,0.0,0.0,3183.7611940298507,,,5367.6115825122515,14.04090925454226,0.0,,5367.6115825122515,
64,1983,64,64.0,0.0,0.0,1.0,2.06,0.8426218748991726,0.01870503597122302,0.054223475944209364,0.020322180916976455,0.04923928077455048,389.2913062034178,16683.324965670206,0.0,3168.912734885723,2309.8817975167913,6.229679896727827,50.76930378014016,8.164452132277848,41.83538352100596,0.0,0.0,0.0,3233.507462686567,,,5478.794532402514,14.394132029005675,0.0,,5478.794532402514,
65,1984,65,65.0,0.0,0.0,1.0,2.05,0.83967453988583,0.01875,0.054087467161180645,0.020195838433292534,0.04911323328785812,386.2502883474817,16757.513060415225,0.0,3220.5785783210586,2368.046743321464,6.338257290083808,51.39418311462756,8.389359160807278,42.36809437479765,0.0,0.0,0.0,3283.2537313432836,,,5588.625321642523,14.727616450891086,0.0,,5588.625321642523,
66,1985,66,66.0,0.0,0.0,1.0,2.04,0.8367822786290059,0.01879432624113475,0.05395518975765889,0.020072551390568318,0.04899057873485868,383.2462836120847,16826.55597414452,0.0,3271.2018647030845,2425.860113047486,6.44463559623647,52.02318747278379,8.653692847207338,42.8302244441501,0.0,0.0,0.0,3333.0,,,5697.061977750571,15.098328443443808,0.0,,5697.061977750571,
